Time,Rudder,Aileron,Elevator,Flap,Velocity kt,a_x fts^2,a_y fts^2,a_z fts^2,Side-slip angle deg,Angle of attack deg,Roll rate degs,Pitch rate degs,Yaw rate degs,Roll deg,Pitch deg
2780.37,0,-0.00384707625,-0.009454432781,0,108.1650785,0.06011088742,0.127341526,-31.99046163,-0.242424098,-0.305281389,-0.0003940508104,-0.02426510485,-0.005884667835,-0.2985103845,0.2330092438
2780.38,0,-0.00384707625,-0.009454432781,0,108.1650096,0.06006699817,0.1273421336,-31.99043715,-0.2424248624,-0.305280533,-0.0003848342075,-0.02427486308,-0.005885415576,-0.298516842,0.2326138647
2780.42,0,-0.00384707625,-0.009454432781,0,108.1648765,0.0599856184,0.1273435467,-31.99035722,-0.2424263889,-0.305278807,-0.0003663001431,-0.02429267238,-0.0058868399,-0.2985292963,0.2318226605
2780.43,0,-0.00384707625,-0.009454432781,0,108.1648123,0.05994179339,0.127344128,-31.99033671,-0.2424271513,-0.3052779359,-0.000356899664,-0.02430358565,-0.005887504988,-0.2985352904,0.231426817
2780.47,0,-0.00384707625,-0.009454432781,0,108.1646888,0.0598528296,0.1273453694,-31.99029461,-0.2424286735,-0.3052763765,-0.0003381520949,-0.02432077916,-0.005888791669,-0.2985468094,0.2306346303
2780.48,0,-0.00384707625,-0.009454432781,0,108.1646294,0.05980834589,0.1273460124,-31.99027449,-0.2424294333,-0.3052756449,-0.0003287852274,-0.02432726648,-0.005889399376,-0.2985523346,0.2302383371
2780.52,0,-0.00384707625,-0.009454432781,0,108.1645155,0.05972557205,0.1273473986,-31.990206,-0.2424309522,-0.3052739956,-0.0003096685886,-0.0243465987,-0.005890490816,-0.2985629115,0.229445336
2780.53,0,-0.00384707625,-0.009454432781,0,108.1644609,0.05968050396,0.1273480343,-31.99018847,-0.2424317107,-0.3052732843,-0.000300142349,-0.02435406909,-0.005891007943,-0.2985679613,0.2290486083
2780.57,0,-0.00384707625,-0.009454432781,0,108.1644079,0.05963543432,0.1273486858,-31.99017154,-0.2424324686,-0.3052726062,-0.0002906219005,-0.02436012997,-0.005891497602,-0.2985728524,0.228651762
2780.59,0,-0.00384707625,-0.009454432781,0,108.1642992,0.05955149444,0.1273518102,-31.99010458,-0.2424350444,-0.3052710837,-0.0002710187966,-0.02437607308,-0.005892413563,-0.2985821558,0.2278577407
2780.63,0,-0.00384707625,-0.009454432781,0,108.1642312,0.05948317247,0.1273518307,-31.990086,-0.2424356437,-0.3052700735,-0.0002562803106,-0.02438630132,-0.005893059829,-0.2985886995,0.2272618697
